Target_Image,Masked_Image
../Inspaint_data/Train_Data/Target/target13552.png,../Inspaint_data/Train_Data/Masked/mask13552.png
../Inspaint_data/Train_Data/Target/target12874.png,../Inspaint_data/Train_Data/Masked/mask12874.png
../Inspaint_data/Train_Data/Target/target17300.png,../Inspaint_data/Train_Data/Masked/mask17300.png
../Inspaint_data/Train_Data/Target/target14073.png,../Inspaint_data/Train_Data/Masked/mask14073.png
../Inspaint_data/Train_Data/Target/target10737.png,../Inspaint_data/Train_Data/Masked/mask10737.png
../Inspaint_data/Train_Data/Target/target4938.jpg,../Inspaint_data/Train_Data/Masked/mask4938.jpg
../Inspaint_data/Train_Data/Target/target11118.png,../Inspaint_data/Train_Data/Masked/mask11118.png
../Inspaint_data/Train_Data/Target/target18246.png,../Inspaint_data/Train_Data/Masked/mask18246.png
../Inspaint_data/Train_Data/Target/target15644.png,../Inspaint_data/Train_Data/Masked/mask15644.png
../Inspaint_data/Train_Data/Target/target15114.png,../Inspaint_data/Train_Data/Masked/mask15114.png
../Inspaint_data/Train_Data/Target/target8643.jpg,../Inspaint_data/Train_Data/Masked/mask8643.jpg
../Inspaint_data/Train_Data/Target/target1392.jpg,../Inspaint_data/Train_Data/Masked/mask1392.jpg
../Inspaint_data/Train_Data/Target/target15594.png,../Inspaint_data/Train_Data/Masked/mask15594.png
../Inspaint_data/Train_Data/Target/target8196.jpg,../Inspaint_data/Train_Data/Masked/mask8196.jpg
../Inspaint_data/Train_Data/Target/target12347.png,../Inspaint_data/Train_Data/Masked/mask12347.png
../Inspaint_data/Train_Data/Target/target19041.png,../Inspaint_data/Train_Data/Masked/mask19041.png
../Inspaint_data/Train_Data/Target/target9143.jpg,../Inspaint_data/Train_Data/Masked/mask9143.jpg
../Inspaint_data/Train_Data/Target/target3816.jpg,../Inspaint_data/Train_Data/Masked/mask3816.jpg
../Inspaint_data/Train_Data/Target/target19749.png,../Inspaint_data/Train_Data/Masked/mask19749.png
../Inspaint_data/Train_Data/Target/target9473.jpg,../Inspaint_data/Train_Data/Masked/mask9473.jpg
../Inspaint_data/Train_Data/Target/target15673.png,../Inspaint_data/Train_Data/Masked/mask15673.png
../Inspaint_data/Train_Data/Target/target14224.png,../Inspaint_data/Train_Data/Masked/mask14224.png
../Inspaint_data/Train_Data/Target/target4313.jpg,../Inspaint_data/Train_Data/Masked/mask4313.jpg
../Inspaint_data/Train_Data/Target/target13129.png,../Inspaint_data/Train_Data/Masked/mask13129.png
../Inspaint_data/Train_Data/Target/target9201.jpg,../Inspaint_data/Train_Data/Masked/mask9201.jpg
../Inspaint_data/Train_Data/Target/target17609.png,../Inspaint_data/Train_Data/Masked/mask17609.png
../Inspaint_data/Train_Data/Target/target19366.png,../Inspaint_data/Train_Data/Masked/mask19366.png
../Inspaint_data/Train_Data/Target/target10391.png,../Inspaint_data/Train_Data/Masked/mask10391.png
../Inspaint_data/Train_Data/Target/target16169.png,../Inspaint_data/Train_Data/Masked/mask16169.png
../Inspaint_data/Train_Data/Target/target1137.jpg,../Inspaint_data/Train_Data/Masked/mask1137.jpg
../Inspaint_data/Train_Data/Target/target5606.jpg,../Inspaint_data/Train_Data/Masked/mask5606.jpg
../Inspaint_data/Train_Data/Target/target15346.png,../Inspaint_data/Train_Data/Masked/mask15346.png
../Inspaint_data/Train_Data/Target/target18123.png,../Inspaint_data/Train_Data/Masked/mask18123.png
../Inspaint_data/Train_Data/Target/target4126.jpg,../Inspaint_data/Train_Data/Masked/mask4126.jpg
../Inspaint_data/Train_Data/Target/target7413.jpg,../Inspaint_data/Train_Data/Masked/mask7413.jpg
../Inspaint_data/Train_Data/Target/target15548.png,../Inspaint_data/Train_Data/Masked/mask15548.png
../Inspaint_data/Train_Data/Target/target9983.jpg,../Inspaint_data/Train_Data/Masked/mask9983.jpg
../Inspaint_data/Train_Data/Target/target3187.jpg,../Inspaint_data/Train_Data/Masked/mask3187.jpg
../Inspaint_data/Train_Data/Target/target9666.jpg,../Inspaint_data/Train_Data/Masked/mask9666.jpg
../Inspaint_data/Train_Data/Target/target11809.png,../Inspaint_data/Train_Data/Masked/mask11809.png
../Inspaint_data/Train_Data/Target/target9518.jpg,../Inspaint_data/Train_Data/Masked/mask9518.jpg
../Inspaint_data/Train_Data/Target/target11915.png,../Inspaint_data/Train_Data/Masked/mask11915.png
../Inspaint_data/Train_Data/Target/target2296.jpg,../Inspaint_data/Train_Data/Masked/mask2296.jpg
../Inspaint_data/Train_Data/Target/target1498.jpg,../Inspaint_data/Train_Data/Masked/mask1498.jpg
../Inspaint_data/Train_Data/Target/target17874.png,../Inspaint_data/Train_Data/Masked/mask17874.png
../Inspaint_data/Train_Data/Target/target8011.jpg,../Inspaint_data/Train_Data/Masked/mask8011.jpg
../Inspaint_data/Train_Data/Target/target910.jpg,../Inspaint_data/Train_Data/Masked/mask910.jpg
../Inspaint_data/Train_Data/Target/target7545.jpg,../Inspaint_data/Train_Data/Masked/mask7545.jpg
../Inspaint_data/Train_Data/Target/target2318.jpg,../Inspaint_data/Train_Data/Masked/mask2318.jpg
../Inspaint_data/Train_Data/Target/target19733.png,../Inspaint_data/Train_Data/Masked/mask19733.png
../Inspaint_data/Train_Data/Target/target5305.jpg,../Inspaint_data/Train_Data/Masked/mask5305.jpg
../Inspaint_data/Train_Data/Target/target14479.png,../Inspaint_data/Train_Data/Masked/mask14479.png
../Inspaint_data/Train_Data/Target/target16850.png,../Inspaint_data/Train_Data/Masked/mask16850.png
../Inspaint_data/Train_Data/Target/target10219.png,../Inspaint_data/Train_Data/Masked/mask10219.png
../Inspaint_data/Train_Data/Target/target17087.png,../Inspaint_data/Train_Data/Masked/mask17087.png
../Inspaint_data/Train_Data/Target/target14870.png,../Inspaint_data/Train_Data/Masked/mask14870.png
../Inspaint_data/Train_Data/Target/target4203.jpg,../Inspaint_data/Train_Data/Masked/mask4203.jpg
../Inspaint_data/Train_Data/Target/target352.jpg,../Inspaint_data/Train_Data/Masked/mask352.jpg
../Inspaint_data/Train_Data/Target/target18764.png,../Inspaint_data/Train_Data/Masked/mask18764.png
../Inspaint_data/Train_Data/Target/target8865.jpg,../Inspaint_data/Train_Data/Masked/mask8865.jpg
